Date,Price
2019-11-1,1579.9
2019-11-4,1571.05
2019-11-5,1553.9
2019-11-6,1571.05
2019-11-7,1584
2019-11-8,1600.25
2019-11-11,1616.9
2019-11-13,1605.8
2019-11-14,1597.6
2019-11-15,1622.75
2019-11-18,1627.2
